Date,Open,High,Low,Close,Adj Close,Volume
2020-06-05,410.000000,416.000000,406.450012,410.750000,402.337524,1702500
2020-06-08,415.000000,417.619995,411.750000,414.299988,405.814789,1294600
2020-06-09,410.529999,411.940002,407.000000,408.559998,400.192352,1188400
2020-06-10,406.500000,409.100006,403.450012,403.769989,395.500458,1188200
2020-06-11,392.690002,397.309998,383.570007,383.880005,376.017822,1698800
2020-06-12,393.329987,394.429993,376.470001,381.869995,374.049011,1788100
2020-06-15,373.279999,377.149994,367.549988,373.279999,365.634949,2271300
2020-06-16,386.559998,391.790009,379.579987,382.769989,374.930542,2038600
2020-06-17,382.500000,386.239990,376.920013,382.109985,374.284058,1519000
2020-06-18,379.679993,381.320007,376.070007,378.390015,370.640289,1562000
2020-06-19,383.339996,383.589996,372.000000,372.200012,364.577026,4322200
2020-06-22,372.260010,376.839996,370.440002,375.959991,368.260040,1370600
2020-06-23,378.250000,378.779999,371.040009,371.700012,364.087280,1469300
2020-06-24,370.899994,371.230011,358.320007,359.820007,352.450592,2302800
2020-06-25,357.859985,363.309998,353.329987,362.820007,355.389160,1391600
2020-06-26,359.559998,367.420013,355.010010,356.760010,349.453247,2008600
2020-06-29,360.390015,367.500000,359.489990,367.500000,359.973297,1073000
2020-06-30,365.350006,367.250000,362.410004,364.920013,357.446136,1482100
2020-07-01,366.339996,368.290009,360.309998,360.420013,353.038330,1430100
2020-07-02,363.529999,366.070007,360.690002,362.000000,354.585968,1396000
2020-07-06,366.480011,367.119995,360.839996,362.589996,355.163818,1202300
2020-07-07,362.589996,362.920013,352.779999,353.269989,346.034729,1395900
